review_type,mean_price,range_price,median_price,standard_deviation_price,n
Mixed,16.025741145605533,624.74,5.99,51.90702646315771,4680
Mostly Negative,12.190993464052301,624.74,4.99,36.67538309533718,782
Mostly Positive,16.436774591427742,624.74,8.99,45.27092152039813,3311
Negative,10.33598484848485,110.61,4.99,17.19615955970466,135
Overwhelmingly Negative,9.132857142857143,19,9.99,5.843188953205016,7
Overwhelmingly Positive,14.886226415094328,501.87,9.99,30.185183742630016,321
Positive,201.93646718705966,650560,4.99,11061.335331121098,3551
Under 10 reviews,11.977674311078303,624.74,4.99,44.09018484837411,11107
Very Negative,13.148387096774194,59,9.99,12.300908393766209,37
Very Positive,15.014225828262502,501.87,9.99,35.95450716087788,4539
NA,109.76774025974628,730640,4.99,8326.436006695123,12363
